# NK-Инжиниринг (196 bundle) — канонический title_zone.py (corruption-tolerant + OCR-on-suspect, pp87-checker@локально 46477d5) по DocSpectrum NK exports. DocSpectrum-владение (переживает Checker export_all реген, который покрывает только Checker-корпус). Джойн по crc32 (DEC-006). Делимитер ;.
crc32;file_name;cover_pages;title_anchor_pages;anomaly;confidence
f85fab33;3. АР КОС20А 17.6.pdf;1-2;"1;2";;high
83c54ac3;3. АР КОС20Б 17.6.pdf;1-2;"1;2";;high
fe6a0e27;3. АР КОС22 17.6.pdf;1-2;"1;2";;high
a2ff74f3;3. АР КОС24А 17.6.pdf;1-2;"1;2";;high
e90c9c3f;3. АР КОС26 17.6.pdf;1-2;"1;2";;high
929a2373;3. АР КОС27А 17.6.pdf;1-2;"1;2";;high
9d42e77c;3. АР КОС28 17.6.pdf;1-2;"1;2";;high
415b7f27;3. АР КОС32 17.6.pdf;1-2;"1;2";;high
65e6ed83;3. АР ЛЕН106.pdf;1-2;"1;2";;high
d673a878;3. АР ЛЕН11 7.7.pdf;1-2;"1;2";;high
afe87473;3. АР ЛЕН18 7.7.pdf;1-2;"1;2";;high
ee23979b;3. АР ЛЕН20 7.7.pdf;1-2;"1;2";;high
687414d5;3. АР ЛЕН24 10.7.pdf;1-2;"1;2";;high
88721060;3. АР ЛЕН3 10.7.pdf;1-2;"1;2";;high
6829bf07;3. АР ЛЕН32 10.7.pdf;1-2;"1;2";;high
cb1c821e;3. АР ЛЕН34 10.7.pdf;1-2;"1;2";;high
77dbddda;3. АР ЛЕН3А 10.7.pdf;1-2;"1;2";;high
464b0571;3. АР МОЛ7 10.7.pdf;1-2;"1;2";;high
1298663d;3. АР НО37 16.6.pdf;1-2;"1;2";;high
023e0471;3. АР ЦЕН160К5 7.7.pdf;1-2;"1;2";;high
2c34d542;3. АР ЦЕН160К6 7.7.pdf;1-2;"1;2";;high
cc0445b7;3. АР ЧЕР21 16.6.pdf;1-2;"1;2";;high
31721716;3. АР ЧЕР29 16.6.pdf;1-2;"1;2";;high
13d72c4e;3. АР ЧЕР31 16.6.pdf;1-2;"1;2";;high
66ba3561;3. АР ЧЕР32 16.6.pdf;1-2;"1;2";;high
09f2212c;3. АР ЭНГ31 16.6.pdf;1-2;"1;2";;high
2bd16430;4. КР КОС20А 17.6.pdf;1-2;"1;2";;high
28855627;4. КР КОС20Б 17.6.pdf;1-2;"1;2";;high
118dec13;4. КР КОС22 17.6.pdf;1-2;"1;2";;high
f6422b13;4. КР КОС24А 17.6.pdf;1-2;"1;2";;high
7501b76b;4. КР КОС26 17.6.pdf;1-2;"1;2";;high
a9d9c87e;4. КР КОС27А 17.6.pdf;1-2;"1;2";;high
1e7c11ed;4. КР КОС28 17.6.pdf;1-2;"1;2";;high
6aebdfd1;4. КР КОС32 17.6.pdf;1-2;"1;2";;high
f8263188;4. КР ЛЕН106.pdf;1-2;"1;2";;high
b6228f78;4. КР ЛЕН11 7.7.pdf;1-2;"1;2";;high
01b867e5;4. КР ЛЕН18 7.7.pdf;1-2;"1;2";;high
f6f517c2;4. КР ЛЕН20 7.7.pdf;1-2;"1;2";;high
cf7efe92;4. КР ЛЕН24 10.7.pdf;1-2;"1;2";;high
76382b89;4. КР ЛЕН3 10.7.pdf;1-2;"1;2";;high
880a831a;4. КР ЛЕН32 10.7.pdf;1-2;"1;2";;high
5012edd2;4. КР ЛЕН34 10.7.pdf;1-2;"1;2";;high
82fc88b1;4. КР ЛЕН3А 10.7.pdf;1-2;"1;2";;high
dbf3c7b4;4. КР МОЛ7 10.7.pdf;1-2;"1;2";;high
cf19ef4a;4. КР НО37 16.6.pdf;1-2;"1;2";;high
a329e04b;4. КР ЦЕН160К5 7.7.pdf;1-2;"1;2";;high
2578e3dc;4. КР ЦЕН160К6 7.7.pdf;1-2;"1;2";;high
9f2edfbf;4. КР ЧЕР21 16.6.pdf;1-2;"1;2";;high
587d5823;4. КР ЧЕР29 16.6.pdf;1-2;"1;2";;high
005c4f4a;4. КР ЧЕР31 16.6.pdf;1-2;"1;2";;high
64c1fad6;4. КР ЧЕР32 16.6.pdf;1-2;"1;2";;high
57b48e17;4. КР ЭНГ31 16.6.pdf;1-2;"1;2";;high
99b7ace2;ИОС5.1 КОС20А 16.6.pdf;1-2;"1;2";;high
9032d4d5;ИОС5.1 КОС20Б 16.6.pdf;1-2;"1;2";;high
5885e04c;ИОС5.1 КОС22 16.6.pdf;1-2;"1;2";;high
a0e1ed94;ИОС5.1 КОС24А 16.6.pdf;1-2;"1;2";;high
e03fbc92;ИОС5.1 КОС26 16.6.pdf;1-2;"1;2";;high
71daf433;ИОС5.1 КОС27А 16.6.pdf;1-2;"1;2";;high
fb1bc978;ИОС5.1 КОС28 16.6.pdf;1-2;"1;2";;high
74307070;ИОС5.1 КОС32 16.6.pdf;1-2;"1;2";;high
1eea01b7;ИОС5.1 ЛЕН106.pdf;1-2;"1;2";;high
90b86e3a;ИОС5.1 ЛЕН11 2.7.pdf;1-2;"1;2";;high
8f049826;ИОС5.1 ЛЕН17 2.7.pdf;1-2;"1;2";;high
5042ad11;ИОС5.1 ЛЕН18 2.7.pdf;1-2;"1;2";;high
f3051580;ИОС5.1 ЛЕН20 2.7.pdf;1-2;"1;2";;high
cabb86ec;ИОС5.1 ЛЕН24 2.7.pdf;1-2;"1;2";;high
251fab66;ИОС5.1 ЛЕН3 2.7.pdf;1-2;"1;2";;high
c7d07fd5;ИОС5.1 ЛЕН32 2.7.pdf;1-2;"1;2";;high
96705d5f;ИОС5.1 ЛЕН34 2.7.pdf;1-2;"1;2";;high
704ac506;ИОС5.1 ЛЕН3А 2.7.pdf;1-2;"1;2";;high
739a09f2;ИОС5.1 МОЛ7 2.7.pdf;1-2;"1;2";;high
e930b7d4;ИОС5.1 НО37 16.6.pdf;1-2;"1;2";;high
81fe0ea3;ИОС5.1 ЦЕН160К5 2.7.pdf;1-2;"1;2";;high
14f2e498;ИОС5.1 ЦЕН160К6 2.7.pdf;1-2;"1;2";;high
3eef9b0b;ИОС5.1 ЧЕР21 16.6.pdf;1-2;"1;2";;high
c7bab22c;ИОС5.1 ЧЕР29 16.6.pdf;1-2;"1;2";;high
6b8d89a5;ИОС5.1 ЧЕР31 16.6.pdf;1-2;"1;2";;high
84b2ada4;ИОС5.1 ЧЕР32 16.6.pdf;1-2;"1;2";;high
9397588e;ИОС5.1 ЭНГ31 16.6.pdf;1-2;"1;2";;high
3ba28a8a;ИОС5.4.1 КОС20А 27.5.pdf;1-2;"1;2";;high
a89c1847;ИОС5.4.1 КОС20Б 27.5.pdf;1-2;"1;2";;high
632e11d8;ИОС5.4.1 КОС22 27.5.pdf;1-2;"1;2";;high
0d8001da;ИОС5.4.1 КОС24А 27.5.pdf;1-2;"1;2";;high
c5a1c774;ИОС5.4.1 КОС26 27.5.pdf;1-2;"1;2";;high
1c02303f;ИОС5.4.1 КОС27А.pdf;1-2;"1;2";;high
36151182;ИОС5.4.1 КОС28 27.5.pdf;1-2;"1;2";;high
801c1bda;ИОС5.4.1 КОС32.pdf;1-2;"1;2";;high
0615ec3f;ИОС5.4.1 ЛЕН106.pdf;1-2;"1;2";;high
3dc62729;ИОС5.4.1 ЛЕН11.pdf;1-2;"1;2";;high
c3d50424;ИОС5.4.1 ЛЕН17.pdf;1-2;"1;2";;high
2965c866;ИОС5.4.1 ЛЕН18.pdf;1-2;"1;2";;high
db9939a2;ИОС5.4.1 ЛЕН20.pdf;1-2;"1;2";;high
f63cbd1b;ИОС5.4.1 ЛЕН24.pdf;1-2;"1;2";;high
20089b77;ИОС5.4.1 ЛЕН3.pdf;1-2;"1;2";;high
71f0e376;ИОС5.4.1 ЛЕН32.pdf;1-2;"1;2";;high
69e0ba71;ИОС5.4.1 ЛЕН34.pdf;1-2;"1;2";;high
0758c684;ИОС5.4.1 ЛЕН3А.pdf;1-2;"1;2";;high
12402e89;ИОС5.4.1 МОЛ7.pdf;1-2;"1;2";;high
8c2d0167;ИОС5.4.1 НО37.pdf;1-2;"1;2";;high
d0a32ae9;ИОС5.4.1 ЦЕН160К5.pdf;1-2;"1;2";;high
049ee569;ИОС5.4.1 ЦЕН160К6.pdf;1-2;"1;2";;high
dd9797bc;ИОС5.4.1 ЧЕР29 27.5.pdf;1-2;"1;2";;high
4f46cea1;ИОС5.4.1 ЧЕР31 27.5.pdf;1-2;"1;2";;high
d48cbf3b;ИОС5.4.1 ЧЕР32.pdf;1-2;"1;2";;high
806fadc1;ИОС5.4.1 ЭНГ31.pdf;1-2;"1;2";;high
c47c4381;ПОКР КОС20А 24.6.pdf;1-2;"1;2";;high
594e15aa;ПОКР КОС20Б 24.6.pdf;1-2;"1;2";;high
c663c0a5;ПОКР КОС22 24.6.pdf;1-2;"1;2";;high
5aa63d12;ПОКР КОС24А 24.6.pdf;1-2;"1;2";;high
027234d1;ПОКР КОС26 24.6.pdf;1-2;"1;2";;high
f1b9828b;ПОКР КОС27А 24.6.pdf;1-2;"1;2";;high
55356fdc;ПОКР КОС28 24.6.pdf;1-2;"1;2";;high
78d280f5;ПОКР КОС32 24.6.pdf;1-2;"1;2";;high
d3d1d7c6;ПОКР ЛЕН106.pdf;1-2;"1;2";;high
fa974b25;ПОКР ЛЕН11 6.8.pdf;1-2;"1;2";;high
67e0f405;ПОКР ЛЕН18 6.8.pdf;1-2;"1;2";;high
1f294863;ПОКР ЛЕН20 6.8.pdf;1-2;"1;2";;high
fd15ff5e;ПОКР ЛЕН24 6.8.pdf;1-2;"1;2";;high
eb4b80eb;ПОКР ЛЕН3 6.8.pdf;1-2;"1;2";;high
ff417479;ПОКР ЛЕН32 6.8.pdf;1-2;"1;2";;high
42ef8ff7;ПОКР ЛЕН34 6.8.pdf;1-2;"1;2";;high
afae6e06;ПОКР ЛЕН3А 6.8.pdf;1-2;"1;2";;high
e2766721;ПОКР МОЛ7 6.8.pdf;1-2;"1;2";;high
58b0249d;ПОКР НО37 24.6.pdf;1-2;"1;2";;high
6c28a84c;ПОКР ЦЕН160К5 6.8.pdf;1-2;"1;2";;high
be0fa1c0;ПОКР ЦЕН160К6 6.8.pdf;1-2;"1;2";;high
94dd9e5c;ПОКР ЧЕР21 24.6.pdf;1-2;"1;2";;high
e076ef99;ПОКР ЧЕР29 24.6.pdf;1-2;"1;2";;high
8b8ebc04;ПОКР ЧЕР31 24.6.pdf;1-2;"1;2";;high
